date	value
2014-05-27	13808
2014-05-28	5422
2014-05-29	9541
2014-05-30	16996
2014-05-31	13373
2014-06-01	9867
2014-06-02	11845
2014-06-03	16686
2014-06-04	7184
2014-06-05	5265
2014-06-06	6521
2014-06-07	2748
2014-06-08	39
2014-06-09	18
2014-06-10	5919
2014-06-11	5881
2014-06-12	6180
2014-06-13	3980
2014-06-14	6478
2014-06-15	7945
2014-06-16	7363
2014-06-17	11154
2014-06-18	6307
2014-06-19	8758
2014-06-20	11384
2014-06-21	8971
2014-06-22	6004
2014-06-23	6545
2014-06-24	7889
2014-06-25	9123
2014-06-26	1171
2014-06-27	367
